# RECORDING
5824,526343,-0.9941,-0.1259,0.0239,-0.98,-0.35,1.82,-130.64,85.90,121.33,104.69,3.26,732.26
5825,526376,-0.9955,-0.1264,0.0205,-0.49,-0.70,2.03,-126.74,85.92,125.24,104.69,3.26,731.79
5826,526409,-0.9945,-0.1220,0.0234,-0.91,-0.70,2.17,-122.88,85.94,129.12,105.05,2.90,731.70
5827,526442,-0.9975,-0.1274,0.0259,0.28,-0.70,2.10,-118.94,85.93,133.04,104.32,3.26,731.70
5828,526475,-0.9960,-0.1249,0.0283,3.92,-0.56,1.82,-114.91,85.90,136.92,104.68,3.26,731.70
5829,526508,-0.9975,-0.1205,0.0268,4.76,-0.42,1.75,-110.97,85.85,140.69,104.69,2.54,731.40
5830,526541,-0.9945,-0.1220,0.0288,4.48,-0.21,1.96,-107.28,85.78,144.22,105.05,2.90,732.57
5831,526574,-0.9955,-0.1191,0.0249,3.22,-0.35,2.10,-103.73,85.69,147.66,104.32,2.90,732.18
5832,526607,-0.9970,-0.1181,0.0264,2.45,-0.35,2.45,-100.36,85.60,150.94,105.05,2.54,732.48
5833,526640,-0.9960,-0.1142,0.0268,-0.28,-17.85,2.59,-89.77,85.55,161.55,104.69,2.54,733.35
5834,526673,-0.9989,-0.1240,0.0303,0.63,0.21,2.73,-87.63,85.36,163.66,104.69,2.90,732.96
5835,526706,-0.9941,-0.1200,0.0298,3.36,0.07,2.52,-85.47,85.16,165.70,103.96,2.90,733.91
5836,526739,-1.0014,-0.1098,0.0298,1.61,0.35,2.94,-83.26,85.01,167.84,103.96,3.26,734.22
5837,526772,-1.0028,-0.1157,0.0327,1.12,0.28,3.29,-81.34,84.84,169.73,103.60,3.62,734.22
5838,526805,-0.9984,-0.0761,0.0561,-18.90,2.38,7.07,-79.32,85.12,172.35,103.60,3.98,732.96
5839,526838,-0.9848,-0.1044,0.0439,-56.21,4.69,11.97,-79.78,85.32,173.74,103.96,3.26,730.23
5840,526871,-1.0019,-0.0605,-0.0913,-114.80,8.05,17.64,-89.87,86.00,167.44,105.41,2.17,726.24
5841,526904,-1.1800,-0.2269,-0.3845,-148.05,16.59,18.97,-108.28,86.38,153.89,106.86,0.00,722.81
5842,526937,-1.1185,-0.3489,-0.3884,-95.83,24.15,12.39,-127.14,86.08,138.17,108.30,-1.09,723.03
5843,526970,-1.0902,-0.3650,-0.3240,-15.19,28.91,1.26,-137.22,85.13,128.56,109.03,-1.45,722.25
5844,527003,-1.0175,-0.2733,-0.2401,39.27,29.47,-8.89,-139.78,83.87,124.69,109.03,-1.45,722.34
5845,527036,-0.9306,-0.1552,-0.1791,39.48,27.72,-13.58,-140.45,82.57,122.70,109.39,-2.90,721.95
5846,527069,-0.8691,-0.0956,-0.1508,6.23,25.41,-13.37,-142.16,81.38,120.78,109.75,-2.90,721.86
5847,527102,-0.8603,-0.0820,-0.1498,-28.14,23.45,-10.50,-145.16,80.32,118.70,109.76,-3.26,721.25
5848,527135,-0.8721,-0.1308,-0.1620,-32.62,22.33,-9.03,-146.68,79.24,118.23,110.12,-3.62,721.16
5849,527168,-0.8813,-0.1366,-0.1571,-20.37,22.12,-9.59,-146.94,78.16,118.62,110.12,-4.35,720.55
5850,527201,-0.9004,-0.1122,-0.1225,-3.85,20.65,-10.08,-146.54,77.59,119.11,110.85,-4.71,719.86
5851,527234,-0.9409,-0.0669,-0.0971,2.66,18.55,-8.54,-146.88,77.20,118.68,111.21,-5.07,720.95
